Item Name,Vendor,Justification,Link,Unit Price,Quantity,Subtotal
Electrical-Insulating Garolite XX Tube,McMaster,Rocket Motor Insulation,https://www.mcmaster.com/8527K247/,27.71,1,27.71
"Multipurpose 6061 Aluminum 2"" Diameter Disc
",McMaster,Forward Closure Stock,https://www.mcmaster.com/1610T15-1610T116/,15.97,1,15.97
"Multipurpose 6061 Aluminum Round Tube 1/8"" Wall Thickness, 2"" OD",McMaster,Forward Retention Ring Stock,https://www.mcmaster.com/catalog/131/4227/9056K4,24.19,1,24.19
"Multipurpose 6061 Aluminum Rod 1 1/4"" Diameter 1' Long",McMaster,Nosecone Tip / Frustrum Stock (I need a lot to hold in my lathe),https://www.mcmaster.com/8974K16-8974K161/,13.58,1,13.58
Black Polypropylene Ball Knob,McMaster,Filleting Tool,https://www.mcmaster.com/61095K51/,5.08,1,5.08
Infinity Bond EP 420 NS Black Non-Sag Epoxy,InfinityBond,Fin Fillet Epoxy,https://www.infinitybond.com/products/infinity-bond-ep-420-ns-black-non-sag-epoxy?variant=39376515235974,52,1,52
Avionics Bay (QUOTE),SendCutSend,Avionics Bay Plate,QUOTE,39.44,1,39.44
,,,Carbon Fiber w/Glass Tracer,,,Total Cost
,,,,,,177.97
